初时间,标题,log描述,done描述,doing 描述,对象-人（引用）,对象标签,完成时间,持续时间（整数）,行动描述,父记录,父记录 2
2026/03/17 16:18,线下面试,见录音采样,,,,,2026/03/17 16:43,25.0,,,
2026/03/17 11:49,,吃饭，不过得有个计划，我得把那个简历得投了，明天最好有个面试。,困，无力。我还是投了简历，有手就行。,,,,2026/03/17 12:38,49.0,,,
2026/03/17 10:21,,"感觉到困意，做职业探索。
思考也是找文字方向？符号是替身，是本质的中介。
劳务派遣",外包到政府做什么。关键字得到的jd信息关于政府关系，销售，人力招聘,,,,2026/03/17 10:41,20.0,,,
2026/03/17 09:45,打印简历,,,,,,2026/03/17 10:17,32.0,,,
2026/03/17 08:30,口头表达练习,10min，自我介绍和离职原因,建立了展开结构,准备今天面试的jd，面试结束去看个秀也行。或者citywalk。,,,2026/03/17 09:01,31.0,,,
2026/03/16 19:45,,选购面试衣服。,,,,,2026/03/16 21:30,105.0,,,
2026/03/16 19:22,,,,,,锻炼,2026/03/16 19:35,13.0,,,
2026/03/16 17:15,面试问题练习表达,"如何保证项目按时交付
如何做需求（优先级）管理",思维有点涣散了。,,,,2026/03/16 17:45,30.0,,,
2026/03/16 15:53,面试问题练习,如何沟通,,,,,2026/03/16 16:39,46.0,,,
2026/03/16 15:00,投递20份简历,中午已经完成5份,投了10份左右。,,,,2026/03/16 15:42,42.0,,,
2026/03/16 14:27,需求管理，项目管理，风险管理。,只是思考,,,,,2026/03/16 15:00,33.0,,,2026/03/16 14:07
2026/03/16 13:50,口头表达自我介绍和离职情况一遍，基本叙事,微调了自我介绍，强调项目交付和用户对接。,,,,,2026/03/16 14:04,14.0,,,
2026/03/16 09:46,自我介绍练习,,,扫视，口头表达一遍。调整用词和顺序。,,,2026/03/16 09:46,0.0,,,
2026/03/16 09:41,,,做了保加利亚深蹲和双臂屈伸。大概20min。锻炼后吃了第一餐。,,,,2026/03/16 09:41,0.0,,,
2026/03/15 21:28,,物理移动,,,,,2026/03/15 22:31,63.0,,,
2026/03/15 19:30,观看脱口秀，,采集100字事实信息。编写100字分析,"在一个商场里。聚光灯照着舞台的中央。一个主持人先互动，然后接着是11个演员依次登场，讲述脱口秀。
大概每个人10分钟不到，讲，可能是自己的人生经历吧。每个人都各有特点。我想如果是真实的故事，那会非常的有趣。
年龄有9岁的小女孩，再到40多岁的大叔。
如何观察点，他们都是北方人居多。
说到底就是一种讲故事。如何自圆其说的，有趣味性的讲完，是一种能力。在人类简史中有提到，人类就是通过故事联系在一起的。
我觉得最出彩的是一个女生，她似乎是演员的角色，还有在密室讲脱口秀，那应该是让我感受到不多的自然笑点之一。
人类的语言很有特色啊，这一点并不仅仅是在文字上，而是在语言上。
总的来说，很鲜活。我的注意力关注到一个个具体的人，这一点让我最为注意。
另外，我的脸部和眼睛是僵硬的。还是，就让我想到了自己的状态吧。其实很难做，单纯的做两个小时都不容易。还是那句话，讨厌酒桌文化。",,,,2026/03/15 21:21,111.0,,,
2026/03/15 16:41,扩展saas关键字的理解。并写字，100字。,不是一套软件，而是一套业务流程系统。,,,,,2026/03/15 17:07,26.0,,,
2026/03/15 15:37,肢体语言学习,嗯，我注意到humanber们在他的 um表达中会以积极的应用手势。这也在一定程度上传达着一些信息。还有一点，这种动作表本身呢，其实会带来某种轻易的掌控感，因此我深入的搜索了一下这个信息，扩展了一下。,,手掌向下表示强调。手掌向上，表示扩展。,,,2026/03/15 15:51,14.0,,,
2026/03/15 15:26,聊天延伸。,,关于恢复的认知观点。,,,,2026/03/15 15:57,31.0,,,
2026/03/15 14:27,关于人际的我想要。,,,我写下了至少三个我想要，分别在情绪存在，嗯身体去行动层面。,,,2026/03/15 15:08,41.0,,,2026/03/15 14:20
